CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
72|1925|7708|7554|AZM368|EMPEDRADO|CR|AZK574|584834|275716|28|2||||26.5|-77.5|804||P 3M|V|151.4|0|66|30|2.2|A|MXD|
72|1926|7624|7470|AZM582|SAN JERONIMO NORTE|SF|AZK585|610434|313311|28|2|C-0546|||31|-86.5|802||P 2M|V|184.4|0|44|21|7|A|MXD|
72|1927|7470|7624|AZK585|SAN CARLOS CENTRO|SF|AZM582|610531|314349|28|2|C-0546|||31|-86.5|804||P 3M|V|4.4|0|40|52|10|A|MXD|
72|1928|7680|7526|AZM582|SAN JERONIMO NORTE|SF|AZM283|610434|313311|28|2|C-0546|||31|-86.5|802||P 2M|H|305.8|0|44|29|8.2|A|MXD|
72|1929|7526|7680|AZM283|PILAR|SF|AZM582|611528|312629|28|2|C-0546|||31|-86.5|802||P 2M|H|125.8|0|58|44|9|A|MXD|
72|1930|7652|7498|AZN331|LA CRIOLLA|ER|AZK358|580627|311608|28|2|C-0546|||31|-83|814||P 1.8M|H|149.4|0|53|52|9.4|A|MXD|
72|1931|7498|7652|AZK358|CONCORDIA|ER|AZN331|580100|312400|28|2|C-0546|||31|-83|814||P 1.8M|H|329.4|0|28|68|10|A|MXD|
72|1932|7498|7652|AZM271|BARRIO RAWSON|SJ|AZV566|683201|313423|28|2|C-0681|||30|-89|814||P 1.8M|H|202.6|0|630|54|10|A|MXD|
72|1933|7652|7498|AZV566|POCITO-ABERASTAIN|SJ|AZM271|683438|313945|28|2|C-0681|||30|-89|814||P 1.8M|H|22.6|0|610|35|9.5|A|MXD|
72|1956|7526|7680|AZL294|MECHONGUE|BA|AZK91|581319|380858|25.5|2|C-0681|||30|-89|814||P 1.8M|H|111.8|0|59|45|6.5|A|MXD|
72|1957|7680|7526|AZK91|MIRAMAR (PDO. GRAL.|BA|AZL294|575020|381608|25.5|2|C-0681|||30|-89|811||P 2.4M|H|291.8|0|11|67|7.9|A|MXD|
72|1936|7652|7498|AZN35|CAYASTA|SF|AZN86|600928|311204|28|2|C-0546|||31|-86.5|804||P 3M|H|214.6|0|24|32|5.7|A|MXD|
72|1938|7708|7554|AZN35|CAYASTA|SF|AZN86|600928|311204|28|2|C-0546|||31|-86.5|804||P 3M|H|214.6|0|24|32|5.7|A|MXD|
72|1937|7498|7652|AZN86|SANTA ROSA|SF|AZN35|602009|312519|28|2|C-0546|||31|-86.5|804||P 3M|H|34.6|0|19|41|7|A|MXD|
72|1939|7554|7708|AZN86|SANTA ROSA|SF|AZN35|602009|312519|28|2|C-0546|||31|-86.5|804||P 3M|H|34.6|0|19|41|7|A|MXD|
72|1941|7680|7526|AZM766|LIBERTAD|MS|AZK551|543338|255543|28|2||||27|-87|804||P 3M|V|358.3|0|255|106|11.8|A|MXD|
72|1940|7526|7680|AZK551|IGUAZU|MS|AZM766|543416|253617|28|2||||27|-87|0||P 3,6M|V|178.3|0|198|80|9.8|A|MXD|
72|1946|7498|7652|AZY873|SANTOS LUGARES|BA|AZY404|583227|343616|28|2||||28|-73|804||P 3M|V|294.2|0|22|102|8|A|MXD|
72|1947|7652|7498|AZY404|PILAR|BA|AZY873|585429|342809|28|2||||28|-73|804||P 3M|V|114.2|0|20|100|8|A|MXD|
72|1948|7708|7554|AZK408|ETRURIA|CD|AZK408|631453|325808|28|2||||26|-83.5|814||P 1.8M|V|340.6|0|161|45|3.3|A|MXD|
72|1950|7652|7498|AZK408|ETRURIA|CD|AZM286|631453|325808|28|2||||26|-83.5|814||P 1.8M|V|340.6|0|161|45|3.3|A|MXD|
72|1949|7554|7708|AZM286|PASCO|CD|AZM286|632030|324444|28|2||||26|-83.5|814||P 1.8M|V|160.6|0|183|30|2.7|A|MXD|
72|1951|7498|7652|AZM286|PASCO|CD|AZK408|632030|324444|28|2||||26|-83.5|814||P 1.8M|V|160.6|0|183|30|2.7|A|MXD|
72|1953|7442|7596|AZM286|PASCO|CD|AZK408|632030|324444|28|2||||26|-83.5|814||P 1.8M|V|160.6|0|183|30|2.7|A|MXD|
